Curriculum,Computer Science,,,,,,,,
Institution,CSU_Los_Angeles,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1, Introduction to Relational Databases ,CS,1222,2,,,3,,
2,Introduction to Higher Education for Computer Science Majors,CS,1010,,,,3,,
3,Introduction to Programming I,CS,2011,2;4,,,4,,
4,Calculus I,MATH,2110,12,,,4,,
5,Introduction to Programming II,CS,2012,3,,,4,,
6, Programming with Data Structures,CS,2013,,,,4,,
7,Discrete Structures,CS,2148,3;4,,,4,,
8,Introduction to Computer Systems,CS,2445,3,,,3,,
9,Fundamentals of Network Systems and Cybersecurity,CS,2470,3,,,3,,
10,Introduction to Technical Writing,ENGL,2030,11,,,3,,
11,Accelerated College Writing,ENGL,1010,,,,3,,
12,Precalculus: Functions and Trigonometry,MATH,1040,,,,6,,
13,Calculus II,MATH,2120,,,,4,,
14, Introduction to Linear Algebra,MATH,2550,13,,,3,,
15,General Physics I: Mechanics,PHYS,2100,4,,,5,,
