Curriculum,Computer Science,,,,,,,,
Institution,CSU_Long_beach,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,"Introduction to Computer Engineering and Computer
Science",CECS,105,,,,1,,
2,Introduction to Programming and Problem Solving,CECS,174,,3,,3,,
3,Calculus I,MATH,122,4;5,,,4,,
4,Precalculus Trigonometry,MATH,111,,,,3,,
5,Precalculus Algebra,MATH,113,,,,3,,
6,Digital Logicand Assembly Programming,CECS,225,2,,,3,,
7,Discrete Structures with Computing Applications,CECS,228,2;3,,,3,,
8,DiscreteStructures with Computing Applications II,CECS,229,7;9,,,3,,
9,Calculus II,MATH,123,3,,,4,,
10,Data Structures,CECS,274,2,,,3,,
11,Object Oriented Application Development,CECS,277,2,,,3,,
12,Introduction to Engineering Profession,ENGR,101,3,3,,1,,
13,AcademicSuccess Skills,ENGR,102,12,,,1,,
14,Mechanics and Heat,PHYS,151,3,,,4,,
15,General Biology,BIOL,200,,,,4,,
