Curriculum,Computer Science,,,,,,,,
Institution,CSU_Fullerton,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming,CPSC,120,,2,,3,,
2,Precalculus,MATH,125,,,,5,,
3,Object-Oriented Programming,CPSC,121,1,,,3,,
4,Data Structures,CPSC,131,3,,,3,,
5,Computer Organization & Assembly Language,CPSC,240,4;6,,,3,,
6,Mathematical Structures I,MATH,170A,,,,3,,
7,Cybersecurity Foundations and Principles ,CPSC,253,,,,3,,
8,Python Programming,CPSC,233P,4,,,3,,
9,Calculus I,MATH,150A,10,,,4,,
10,Precalculus,MATH,125,,,,5,,
11,Calculus II,MATH,150B,9,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,Elements of Biology,BIOL,101,,,,3,,
15,Elements of Biology Laboratory,BIOL,101L,14,14,,1,,
16,Cellular and Molecular Biology,BIOL,151,,,,4,,
17,Evolution and Organismal Biology,BIOL,152,16,,,4,,
18,,,,,,,,,
