Curriculum,CSU_Los_Angeles,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Los Angeles,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,Introduction to College Writing,ENGL,1004,,,,3,,,11.0,5,6.0,0,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,Programming Paradigms,CS,3035,,,,3,,,9.0,2,7.0,14,
18,Analysis of Algorithms,CS,3112,,,,3,,,14.0,7,7.0,198,
19,Introduction to Automata Theory,CS,3186,,,,3,,,9.0,2,7.0,38,
20,Web and Internet Programming,CS,3220,,,,4,,,5.0,0,5.0,0,
21,Software Engineering,CS,3337,,,,3,,,9.0,2,7.0,20,
22,Societal and Ethical Issues in Computing,CS,3801,,,,3,,,9.0,2,7.0,14,
23,Introduction to Operating Systems,CS,4440,,,,3,,,9.0,2,7.0,38,
24,Software Design Laboratory I,CS,4961,22;21;18;17;19,,23,3,,,8.0,1,7.0,162,
25,Software Design Laboratory II,CS,4962,24,,,3,,,7.0,0,7.0,0,
26,Computer Science Recapitulation,CS,4963,27,,,3,,,5.0,0,5.0,0,
27,General Physics II: Electromagnetism and Circuits,PHYS,2200,,,,5,,,6.0,1,5.0,10,
28,Competitive Programming,CS,4112,18,,,3,,,6.0,0,6.0,0,
29,Multimedia Software Systems,CS,4551,18,,,3,,,6.0,0,6.0,0,
30,Introduction to 3D Computer Game Programming,CS,4555,18,,,3,,,6.0,0,6.0,0,
31,Artificial Intelligence,CS,4660,18,,,3,,,6.0,0,6.0,0,
32,Cryptography and Information Security,CS,4780,18,,,3,,,6.0,0,6.0,0,
33,Computer Organization,EE,3445,,,,3,,,5.0,0,5.0,0,
34,Calculus I Workshop,MATH,2111,,,,1,,,22.0,16,6.0,0,
35,Calculus II Workshop,MATH,2121,,,,1,,,7.0,3,4.0,0,
