Curriculum,Sonoma_State,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,Sonoma State,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Data Structures,CS,315,,,,4,,,12.0,7,5.0,147,
10,Computer Architecture,CS,351,,,,4,,,4.0,0,4.0,0,
11,Database Management Systems Design,CS,355,,,,4,,,3.0,0,3.0,0,
12,Software Design and Development,CS,370,,,,4,,,5.0,1,4.0,4,
13,Algorithm Analysis,CS,415,9,,,4,,,5.0,0,5.0,0,
14,Operating Systems,CS,450,9,,,4,,,5.0,0,5.0,0,
15,Theory of Computation,CS,454,9,,,4,,,5.0,0,5.0,0,
16,Programming Languages,CS,460,9,,,4,,,5.0,0,5.0,0,
17,Introduction to Game Programming,CS,330,9,,,3,,,5.0,0,5.0,0,
18,Computer Security and Malware,CS,340,,,,3,,,4.0,0,4.0,0,
19,Object-Oriented Programming,CS,360,9,,,3,,,5.0,0,5.0,0,
20,Advanced Software Design Project,CS,470,9;12,,,3,,,5.0,0,5.0,0,
