Curriculum,CSU_Chico,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Chico,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,Trigonometry,MATH,118,,,,3,,,8.0,4,4.0,0,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,Introduction to Databases,CINS,370,,,,3,,,9.0,3,6.0,31,
12,Computer Security,CINS,448,13,,,3,,,5.0,0,5.0,0,
13,Introduction to Computer Networks and Network Management,CSCI,446,14,,,3,,,7.0,2,5.0,16,
14,PCs and Peripherals,CINS,220,,,,3,,,6.0,3,3.0,0,
15,Computer's Impact on Society (W),CSCI,301W,,,,3,,,1.0,0,1.0,0,
16,Algorithms and Data Structures,CSCI,311,,,,4,,,15.0,9,6.0,104,
17,Advanced Algorithms and Complexity,CSCI,411,16,,,4,,,5.0,0,5.0,0,
18,Software Engineering,CSCI,430,16,,,3,,,7.0,1,6.0,17,
19,Operating Systems,CSCI,440,16,,,4,,,7.0,1,6.0,23,
20,Computer Science Capstone,CSCI,490,21;18,,,3,,,6.0,0,6.0,0,
21,Mobile Application Development,CINS,467,22;11,,,3,,,7.0,1,6.0,25,
22,Database Application Development,MINS,335,,,,3,,,5.0,2,3.0,0,
23,Numerical Methods and Parallel Programming,CSCI,551,19,,,3,,,6.0,0,6.0,0,
24,Probability and Statistics for Science and Technology,MATH,314,,,,4,,,4.0,0,4.0,0,
25,Programming Languages,CSCI,315,16,,,3,,,5.0,0,5.0,0,
26,Artificial Intelligence,CSCI,580,16,,,3,,,5.0,0,5.0,0,
27,Computer Network Management,CSCI,546,13,,,3,,,5.0,0,5.0,0,
28,Computer Graphics Programmin,CSCI,566,16,,,3,,,5.0,0,5.0,0,
29,Advanced Object-Oriented Programming,CSCI,511,16,,,3,,,5.0,0,5.0,0,
30,"
Advanced Database Management Systems",CINS,570,11,,,3,,,5.0,0,5.0,0,
