Curriculum,San_Diego_State_University,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,San Diego State University,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,Computer Architecture,CS,370,,,,3,,,9.0,2,7.0,26,
19,Introduction to Artificial Intelligence,CS,450,,,,3,,,6.0,0,6.0,0,
20,Algorithms,CS,460,,,,3,,,8.0,1,7.0,18,
21,Operating Systems,CS,480,18,,,3,,,7.0,0,7.0,0,
22,Advanced Programming Languages,CS,420,,,,3,,,6.0,0,6.0,0,
23,Applied Probability,STAT,550,,,,3,,,5.0,0,5.0,0,
24,UNIX System Administration,CS,470,18,,,3,,,7.0,0,7.0,0,
25,Systems Programming,CS,530,,,,3,,,6.0,0,6.0,0,
26,Machine Learning,CS,549,,,,3,,,6.0,0,6.0,0,
27,Neural Networks,CS,553,,,,3,,,6.0,0,6.0,0,
28,Database Theory and Implementation,CS,514,,,,3,,,6.0,0,6.0,0,
29,Undergraduate Research Seminar,CS,497,20,,,3,,,7.0,0,7.0,0,
