Curriculum,CSU_Northridge,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Northridge,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1, Introduction to Algorithms and Programming and Lab,COMP,110/L,,,,4,,,23.0,16,7.0,61,
2,,,,,,,,,,,,,,
3,Computer Architecture and Assembly Language and Lab,COMP,122/L,1,,,2,,,7.0,2,5.0,9,
4,Data Structures and Program Design and Lab,COMP,182/L,1,,,4,,,21.0,14,7.0,102,
5,,,,,,,,,,,,,,
6,Discrete Structures for Computer Science and Lab,COMP,256/L,4,,,4,,,7.0,2,5.0,32,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,"Automata, Languages and Computation",COMP,310,6,,,3,,,5.0,0,5.0,0,
19,Introduction to Operating Systems and System Architecture and Lab,COMP,322/L,,,,4,,,5.0,0,5.0,0,
20,Concepts of Programming Languages,COMP,333,,,,3,,,5.0,0,5.0,0,
21,Introduction to Software Engineering,COMP,380/L,,,,3,,,13.0,6,7.0,99,
22,Algorithm Design and Analysis,COMP,482,6,,,3,,,5.0,0,5.0,0,
23,Senior Design Project,COMP,490/L,21,,,4,,,8.0,1,7.0,23,
24,Senior Project Lab,COMP,491L,23,,,1,,,7.0,0,7.0,0,
25,Introductory Probability,MATH,340,,,,3,,,4.0,0,4.0,0,
26,Database Design,COMP,440,21,,,3,,,6.0,0,6.0,0,
27,Computer Graphic Systems and Design and Lab,COMP,465/L,,,,3,,,5.0,0,5.0,0,
28,Multimedia Systems Design,COMP,467,21,,,3,,,6.0,0,6.0,0,
29,Web Engineering I and Lab,COMP,484/L,21,,,3,,,6.0,0,6.0,0,
30,Human-Computer Interaction,COMP,485,21,,,3,,,6.0,0,6.0,0,
