Curriculum,San_Francisco_State,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,San Francisco State,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Programming Paradigms and Languages,CSC,600,,22;20,,3,,,7.0,0,7.0,0,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,"Ethics, Communication, and Tools for Software Development - GWAR",CSC,300GW,,,,3,,,3.0,0,3.0,0,
18,Introduction to Web Software Development,CSC,317,,,,3,,,5.0,0,5.0,0,
19,Programming Methodology,CSC,340,,,,3,,,13.0,6,7.0,80,
20,Software Development,CSC,413,,,,3,,,9.0,3,6.0,18,
21,Operating System Principles,CSC,415,19,,,3,,,10.0,3,7.0,180,
22,Analysis of Algorithms I,CSC,510,19,,,3,,,8.0,1,7.0,26,
23,Software Engineering,CSC,648,20;24,,,3,,,6.0,0,6.0,0,
24,Introduction to Web Software Development,CSC,317,,,,3,,,7.0,1,6.0,6,
25,UNIX Programming,CSC,615,21,,,3,,,7.0,0,7.0,0,
26,Computer Networks,CSC,645,21,,,3,,,7.0,0,7.0,0,
27,Software Techniques for Computer Music,CSC,637,20,,,3,,,6.0,0,6.0,0,
28,Computer Organization,CSC,656,21,,,3,,,7.0,0,7.0,0,
