Curriculum,UC_Davis,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,UC Davis,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,quarter,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,Algorithm Design & Analysis,ECS,122A,,,,4,,,2.0,0,3.0,0,
15,Theory of Computation,ECS,120,,,,4,,,2.0,0,3.0,0,
16,Programming Languages,ECS,140A,,,,4,,,4.7,1,6.0,17,
17,Operating Systems & System Programming,ECS,150,18,,,4,,,5.3,1,7.0,18,
18,Computer Architecture,ECS,154A,,,,4,,,6.0,2,7.0,7,
19,Probability & Statistical Modeling for Computer Science,ECS,132,,,,4,,,6.0,2,7.0,18,
20,Computer Networks,ECS,152A,19,,,4,,,5.3,1,7.0,29,
21,Computer Networks,ECS,152B,20;17,,,4,,,4.7,0,7.0,0,
22,Software Engineering,ECS,160,16,,,4,,,4.0,0,6.0,0,
23,Web Programming,ECS,162,,,,4,,,2.7,0,4.0,0,
24,Database Systems,ECS,165A,,,,4,,,4.7,1,6.0,11,
25,Database Systems,ECS,165B,24,,,4,,,4.0,0,6.0,0,
26,Number Theory,MAT,115A,,,,4,,,2.0,0,3.0,0,
