Curriculum,Cal_Poly_Pomono,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,Cal Poly Pamona,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,Numerical Methods and Computing,CS,3010,,,,3,,,5.0,0,5.0,0,
11,,,,,,,,,,,,,,
12,Formal Languages and Automata,CS,3110,,,,3,,,7.0,1,6.0,51,
13,Design and Analysis of Algorithms,CS,3310,15,,,3,,,8.0,2,6.0,138,
14,Object-Oriented Design and Programming,CS,3560,,,,3,,,5.0,0,5.0,0,
15,Probability and Statistics for Computer Scientists and Engineers,MAT,2260,,,,3,,,9.0,3,6.0,36,
16,Computer Architecture,CS,3650,,,,4,,,7.0,1,6.0,36,
17,Computers and Society,CS,3750,,,,3,,,1.0,0,1.0,0,
18,Concepts of Programming Languages,CS,4080,12,,,3,,,6.0,0,6.0,0,
19,Operating Systems,CS,4310,16,,,3,,,6.0,0,6.0,0,
20,,,,,,,,,,,,,,
21,Undergraduate Seminar,CS,4630,,,,1,,,1.0,0,1.0,0,
22,Software Engineering,CS,4800,,,,3,,,5.0,0,5.0,0,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,Symbolic Programming,CS,3520,,,,3,,,5.0,0,5.0,0,
29,Parallel Processing,CS,3700,13,,,3,,,6.0,0,6.0,0,
30,Artificial Intelligence,CS,4200,13,,,3,,,6.0,0,6.0,0,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,Internship inComputer Science,CS,4410,,,,2,,,1.0,0,1.0,0,
