Curriculum,CSU_Dominguez_Hills,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Dominguez Hills,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,Lower Division Computer Science Elective,CSC,2xx,,,,3,,,1.0,0,1.0,0,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Foundations of Higher Mathematics,MAT,271,,,,3,,,8.0,2,6.0,6,
10,,,,,,,,,,,,,,
11,General Physics I,PHY,130,,,,5,,,5.0,1,4.0,4,
12,General Physics II,PHY,132,11,,,5,,,4.0,0,4.0,0,
13,Data Structures,CSC,311,,,,3,,,12.0,6,6.0,125,
14,Programming Languages,CSC,321,,,,3,,,9.0,3,6.0,32,
15,Computer Organization,CSC,331,,,,3,,,6.0,1,5.0,24,
16,Operating Systems,CSC,341,13;15;17,,,3,,,6.0,0,6.0,0,
17,Probability and Statistics,MAT,321,9,,,3,,,7.0,1,6.0,11,
18,Computers And Society,CSC,301,,,,3,,,7.0,2,5.0,18,
19,Analysis Of Algorithms,CSC,401,13,,,3,,,5.0,0,5.0,0,
20,Software Engineering,CSC,481,13;18;14,,,3,,,7.0,1,6.0,51,
21,Senior Design,CSC,492,20;18;14,,,3,,,6.0,0,6.0,0,
22,Finite Automata,MAT,361,,,,3,,,4.0,0,4.0,0,
23,Artificial Intelligence,CSC,411,13;14,,,3,,,5.0,0,5.0,0,
24,Computer Networks,CSC,451,13,,,3,,,5.0,0,5.0,0,
