Curriculum,CSU_Fullerton,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Fullerton,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,Python Programming,CPSC,223P,,,,3,,,5.0,0,5.0,0,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,Mathematical Structures II,MATH,170B,,,,3,,,5.0,2,3.0,0,
13,Statistics Applied to Natural Sciences,MATH,338,,,,4,,,7.0,2,5.0,10,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,Professional Ethics in Computing,CPSC,315,,,,3,,,5.0,0,5.0,0,
19,Compilers and Languages,CPSC,323,,,,3,,,5.0,0,5.0,0,
20,File Structures and Database Systems,CPSC,332,,,,3,,,7.0,1,6.0,6,
21, Algorithm Engineering,CPSC,335,12,,,3,,,7.0,1,6.0,9,
22,Operating Systems Concepts,CPSC,351,,,,3,,,7.0,1,6.0,6,
23,Foundations of Software Engineering,CPSC,362,,,,3,,,9.0,2,7.0,7,
24,Computer Communications,CPSC,471,22,,,3,,,6.0,0,6.0,0,
25, Artificial Intelligence,CPSC,481,13;21,,,3,,,6.0,0,6.0,0,
26,Undergraduate Seminar in Computer Science,CPSC,490,23,,,3,,,8.0,1,7.0,7,
27,Senior Capstone Project in Computer Science,CPSC,491,26,,,3,,,7.0,0,7.0,0,
28,Software Development with Open Source Systems,CPSC,254,,,,3,,,5.0,0,5.0,0,
29,Web Front-End Engineering,CPSC,349,,,,3,,,5.0,0,5.0,0,
30,Introduction to Data Science and Big Data,CPSC,375,13,,,3,,,5.0,0,5.0,0,
31,Mobile Device Application Programming,CPSC,411,,,,3,,,5.0,0,5.0,0,
32,Database and Applications,CPSC,431,20,,,3,,,6.0,0,6.0,0,
