Curriculum,CSU_Long_Beach,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Long Beach,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,Introduction to Computer Engineering and Computer Science,CECS,105,,,,1,,,1.0,0,1.0,0,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,Database Fundamentals,CECS,323,,,,3,,,9.0,2,7.0,40,
17,System Programming,CECS,325,,,,3,,,9.0,2,7.0,28,
18,Operating Systems,CECS,326,17;19,,,3,,,8.0,1,7.0,42,
19,Computer Architecture and Organization,CECS,341,,,,3,,,9.0,2,7.0,14,
20,Introduction to Networks and Distributed Computing,CECS,327,18,,,3,,,7.0,0,7.0,0,
21,Algorithms,CECS,328,,,,3,,,14.0,7,7.0,182,
22,Concepts of Computer Science Theory,CECS,329,21,,,3,,,8.0,1,7.0,40,
23,Principles of Programming Languages,CECS,342,21,,,3,,,6.0,0,6.0,0,
24,Introduction to Software Engineering,CECS,343,,,,3,,,10.0,3,7.0,26,
25,Introduction to Computer Security Principles,CECS,378,,,,3,,,6.0,0,6.0,0,
26,Probability and Statistics with Applications to Computing,EE,381,,,,3,,,6.0,0,6.0,0,
27,"Computers, Ethics and Society",ENGR,350,,,,3,,,5.0,2,3.0,0,
28,Computer Science Senior Project I,CECS,491A,27;24,16;21,,3,,,8.0,1,7.0,97,
29,Computer Science Senior Project II,CECS,491B,28,,,3,,,7.0,0,7.0,0,
30,Scientific Research Communication,ENGR,361,,,,3,,,1.0,0,1.0,0,
31,Theory of Computation,CECS,419,22,,,3,,,7.0,0,7.0,0,
32,Dynamic Networks,CECS,427,21,,,3,,,6.0,0,6.0,0,
33,Analysis of Algorithms,CECS,428,21,,,3,,,6.0,0,6.0,0,
34,Software Project Management and Testing,CECS,443,24,,,3,,,6.0,0,6.0,0,
