Curriculum,CSU_Channel_Islands,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,CSU Channel Islands,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,Programming Languages,COMP,232,,,,3,,,12.0,5,7.0,114,
7,Computer Organization and Architecture,COMP,262,,,,3,,,10.0,3,7.0,28,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,Introduction To Software Engineering,COMP,350,6;7,,,3,,,9.0,2,7.0,68,
14,Operating Systems,COMP,362,6,,,4,,,10.0,3,7.0,74,
15,"Automata, Languages, and Computation",COMP,454,,,,3,,,2.0,0,2.0,0,
16,,,,,,,,,,,,,,
17,Probability and Statistics,MATH,352,,,,3,,,4.0,0,4.0,0,
18,Analysis of Algorithms,MATH,354,,,,3,,,2.0,0,2.0,0,
19,Human-Computer Interaction,COMP,449,,,,3,,,1.0,0,1.0,0,
20,Distributed Computing,COMP,351,,,,3,,,4.0,0,4.0,0,
21,Mobile Application Development,COMP,405,,,,3,,,4.0,0,4.0,0,
22,Database Theory and Design,COMP,420,,,,3,,,4.0,0,4.0,0,
23,Computer System Security,COMP,424,14,,,3,,,6.0,0,6.0,0,
24,Capstone Preparation,COMP,491,13;14,,,1,,,8.0,1,7.0,108,
25,Capstone Project,COMP,499,24,,,3,,,7.0,0,7.0,0,
