Curriculum,UC Berkeley BS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,UC Berkeley,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,14.1001,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,Designing Information Devices and Systems I,EE,16A,,4,,4,,,8.0,3,5.0,36,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,The Structure and Interpretation of Computer Programs,CS,61A,,,,4,,,12.0,7,5.0,26,
5,Designing Information Devices and Systems II,EE,16B,1,,,4,,,6.0,1,5.0,14,
6,Data Structures,CS,61B,4,,,4,,,7.0,2,5.0,9,
7,Great Ideas of Computer Architecture (Machine Structures),CS,61C,4;6,,,4,,,6.0,1,5.0,9,
8,Discrete Mathematics and Probability Theory,CS,70,,,,4,,,5.0,3,2.0,0,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,Introduction to Astrophysics,ASTRON,7A,,,,4,,,5.0,0,5.0,0,
13,Introduction to General Astronomy,ASTRON,10,,,,4,,,1.0,0,1.0,0,
14,Integrated-Circuit Devices,EE,130,5;1,,,4,,,5.0,0,5.0,0,
15,Microfabrication Technology,EE,143,,,,4,,,5.0,0,5.0,0,
16,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization",EE,144,8;1,,,4,,,4.0,0,4.0,0,
17,Operating Systems and System Programming,CS,162,6;7;8,,,4,,,5.0,0,5.0,0,
18,Cryptography,CS,171,8,,,4,,,2.0,0,2.0,0,
19,Social Implications of Computer Technology,CS,195,,,,1,,,1.0,0,1.0,0,
