Curriculum,San_Jose_State,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,San Jose State,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,"Computers, Ethics and Society",PHIL,134,,,,3,,,3.0,1,2.0,0,
10,Technical Writing Workshop,CS,100W,,,,3,,,5.0,2,3.0,0,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,Data Structures and Algorithms,CS,146,,,,3,,,12.0,7,5.0,105,
16,Computer Architecture,CS,147,,,,3,,,4.0,0,4.0,0,
17,Operating Systems,CS,149,,,,3,,,4.0,0,4.0,0,
18,Object-Oriented Design,CS,151,,,,3,,,8.0,3,5.0,34,
19,Programming Paradigms,CS,152,18,,,3,,,4.0,0,4.0,0,
20,Formal Languages and Computability,CS,154,,,,3,,,3.0,0,3.0,0,
21,Introduction to Database Management Systems,CS,157A,15,,,3,,,6.0,1,5.0,24,
22,Software Engineering,CS,160,15;10;18,,,3,,,6.0,1,5.0,46,
23,Information Security,CS,166,15,,,3,,,4.0,0,4.0,0,
24,Software Project,CS,161,22,,,3,,,5.0,0,5.0,0,
25,Bioinformatics I,CS,123A,,,,3,,,3.0,0,3.0,0,
26,Introduction to Artificial Intelligence,CS,156,15,,,3,,,4.0,0,4.0,0,
27,NoSQL Database Systems,CS,157C,21,,,3,,,5.0,0,5.0,0,
28,Introduction to the Design and Analysis of Algorithms,CS,155,15,,,3,,,4.0,0,4.0,0,
