Curriculum,Fresno_State,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Institution,Fresno State,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,Introduction to Computer Organization,CSCI,113,,,,4,,,5.0,0,5.0,0,
10,Introduction to Operating Systems,CSCI,114,,,,3,,,7.0,1,6.0,17,
11,Algorithms and Data Structures,CSCI,115,,,,4,,,7.0,2,5.0,26,
12,Structures of Programming Languages,CSCI,117,,,,4,,,8.0,2,6.0,12,
13,Introduction to Formal Languages and Automata,CSCI,119,,,,3,,,4.0,0,4.0,0,
14,Database Systems,CSCI,126,11,,,3,,,5.0,0,5.0,0,
15,Web Programming,CSCI,130,11,,,3,,,5.0,0,5.0,0,
16,Introduction to Software Engineering,CSCI,150,,,,3,,,6.0,1,5.0,5,
17,Software Engineering,CSCI,152E,16,,,3,,,5.0,0,5.0,0,
18,Internetworking Systems and Protocols,CSCI,156,10,,,3,,,6.0,0,6.0,0,
19,Artificial Intelligence Programming,CSCI,164,12,,,3,,,7.0,1,6.0,12,
20,Principles of Artificial Intelligence,CSCI,166,19,,,3,,,6.0,0,6.0,0,
21,Project,CSCI,198,,,,3,,,1.0,0,1.0,0,
