Curriculum,Computer Science,,,,,,,,
Institution,CSU_Northridge,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Algorithms and Programming,COMP,110,3,,,3,,
2,Introduction to Algorithms and Programming Laboratory,COMP,110L,3,,,1,,
3,Mathematical Methods for Business,MATH,105,,,,3,,
4,Computer Architectureand Assembly Language,COMP,122,1;2;3,,,1,,
5,Computer Architectureand Assembly LanguageLab,COMP,122L,1;2;3,,,1,,
6,Data Structures and Program Design,COMP,182,1;2;3,,,3,,
7,Data Structures and Program Design Lab,COMP,182L,1;2;3,,,1,,
8,,,,,,,,,
9,Discrete Structures for Computer Science,COMP,256,6;7;11;12,,,3,,
10,Discrete Structures for Computer ScienceLab,COMP,256L,6;7;11;12,,,1,,
11,Calculus I,MATH,150A,3,,,5,,
12,Introduction to Formal Logic,PHIL,230,,,,3,,
13,,,,,,,,,
14,Calculus II,MATH,150B,11,,,5,,
15,Introduction to Linear Algebra,MATH,262,14,,,3,,
16,Mechanics,PHYS,220A,11,,,3,,
17, Mechanics Laboratory,PHYS,220AL,11,,,1,,
18,Electricity and Magnetism,PHYS,220B,16;14,,,3,,
19,Electricity and Magnetism Laboratory,PHYS,220BL,16;14,,,1,,
20,Weather,GEOG,103,,,,3,,
21,Weather Lab,GEOG,105,,20,,1,,
