Curriculum,Computer Science,,,,,,,,
Institution,Sacramento State,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Programming Concepts and Methodology I,CSC,15,2,,,3,,
2,Introduction to Programming Logic,CSC,10,,,,3,,
3,Programming Concepts and Methodology II,CSC,20,1,,,3,,
4,Discrete Structures for Computer Science,CSC,28,3;5,3,,3,,
5,Pre-Calculus Mathematics,MATH,29,,,,4,,
6,Introduction to Computer Architecture,CSC,35,1,,,3,,
7,Calculus I,MATH,30,5,,,4,,
8,Calculus II,MATH,31,7,,,4,,
9,General Physics: Mechanics,PHYS,11A,8,8,,4,,
10,Introduction to Systems Programming in UNIX,CSC,60,3;6,,,3,,
11,,,,,,,,,
12,Introduction to Linear Algebra,MATH,35,7,,,3,,
13,Basic Biological Concepts,BIO,10,,,,3,,
