Curriculum,SacramentoState,,,,,,,,,
Institution,"Sacramento State",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
11,"Introduction to Probability and Statistics","STAT","50",,,,4,"","",1.0,0,1.0,0
14,"Data Structures and Algorithm Analysis","CSC","130",,,,3,"","",18.0,13,5.0,0
15,"Computer Software Engineering","CSC","131",,"14",,3,"","",9.0,4,5.0,13
16,"Object-Oriented Computer Graphics Programming","CSC","133","15;14",,,3,"","",8.0,3,5.0,16
17,"Database Management Systems","CSC","134","14",,,3,"","",7.0,3,4.0,7
18,"Computing Theory and Programming Languages","CSC","135","14",,,3,"","",8.0,4,4.0,10
19,"Computer Organization","CSC","137","14",,,3,"","",7.0,3,4.0,7
20,"Computer Networking Fundamentals","CSC","138","14",,,3,"","",4.0,1,3.0,3
21,"Operating System Principles","CSC","139","14;19",,,3,"","",3.0,0,3.0,0
22,"Senior Project - Part I","CSC","190","15;16;18;14;17;23;19",,,2,"","",6.0,1,5.0,31
23,"Preparing to Write in the Disciplines - Multilingual","ENGL","109M",,,,3,"","",5.0,2,3.0,0
24,"Senior Project - Part II","CSC","191","22",,,2,"","",5.0,0,5.0,0
25,"Business and Computer Ethics","PHIL","103",,,,3,"","",1.0,0,1.0,0
26,"Career Planning","CSC","192","16;18;14;17",,,1,"","",4.0,0,4.0,0
27,"Computer Science Seminar","CSC","194",,,,1,"","",1.0,0,1.0,0
28,"Advanced Algorithm Design and Analysis","CSC","140","14",,,3,"","",2.0,0,2.0,0
29,"Compiler Construction","CSC","151","18",,,3,"","",3.0,0,3.0,0
30,"Computer Forensics Principles and Practices","CSC","153","20",,,3,"","",3.0,0,3.0,0
