University,CC,Values
CSUF,Evergreen Valley College,7
CSUF,Los Angeles City College,5
CSUF,College of Marin,5
CSUF,College of San Mateo,6
CSUF,College of the Sequoias,5
CSUF,Butte College,7
CSUF,Cerro Coso Community College,4
CSUF,Columbia College,5
CSUF,Merritt College,5
CSUF,Santa Ana College,7
CSUF,Cuesta College,7
CSUF,Merced College,4
CSUF,Las Positas College,6
CSUF,Victor Valley College,6
CSUF,Barstow Community College,6
CSUF,Los Angeles Trade Technical College,3
CSUF,American River College,7
CSUF,Contra Costa College,5
CSUF,College of the Desert,8
CSUF,Los Angeles Harbor College,7
CSUF,Mission College,4
CSUF,City College of San Francisco,7
CSUF,Fresno City College,5
CSUF,Reedley College,7
CSUF,Shasta College,7
CSUF,Lake Tahoe Community College,2
CSUF,Cabrillo College,7
CSUF,Glendale Community College,8
CSUF,Los Angeles Valley College,5
CSUF,San Diego Miramar College,5
CSUF,Los Angeles Mission College,7
CSUF,Ohlone College,6
CSUF,Pasadena City College,8
CSUF,Foothill College,7
CSUF,Modesto Junior College,6
CSUF,Mt. San Jacinto College,6
CSUF,San Diego City College,4
CSUF,Golden West College,7
CSUF,Palomar College,8
CSUF,Santa Rosa Junior College,6
CSUF,Berkeley City College,5
CSUF,Los Medanos College,6
CSUF,Mount San Antonio College,7
CSUF,Palo Verde College,0
CSUF,Rio Hondo College,7
CSUF,Saddleback College,7
CSUF,Santiago Canyon College,7
CSUF,West Hills College Coalinga,2
CSUF,Canada College,7
CSUF,Chaffey College,7
CSUF,Crafton Hills College,6
CSUF,Cypress College,8
CSUF,Gavilan College,7
CSUF,Napa Valley College,4
CSUF,Orange Coast College,7
CSUF,Laney College,5
CSUF,Riverside City College,7
CSUF,West Valley College,4
CSUF,Lassen Community College,0
CSUF,College of the Redwoods,3
CSUF,Bakersfield College,7
CSUF,Los Angeles Pierce College,7
CSUF,Oxnard College,2
CSUF,Yuba College,6
CSUF,West Los Angeles College,6
CSUF,Santa Barbara City College,5
CSUF,Sierra College,6
CSUF,Solano Community College,5
CSUF,Ventura College,5
CSUF,Chabot College,4
CSUF,Citrus College,7
CSUF,Cuyamaca College,6
CSUF,Mendocino College,6
CSUF,San Diego Mesa College,3
CSUF,College of the Siskiyous,6
CSUF,El Camino College,6
CSUF,Cerritos College,8
CSUF,Coastline Community College,2
CSUF,Grossmont College,4
CSUF,Imperial Valley College,7
CSUF,MiraCosta College,5
CSUF,San Joaquin Delta College,7
CSUF,Allan Hancock College,5
CSUF,College of Alameda,2
CSUF,Copper Mountain College,6
CSUF,De Anza College,8
CSUF,Diablo Valley College,6
CSUF,East Los Angeles College,3
CSUF,Taft College,2
CSUF,Antelope Valley College,6
CSUF,Feather River College,2
CSUF,Hartnell College,7
CSUF,Irvine Valley College,8
CSUF,Porterville College,2
CSUF,Sacramento City College,7
CSUF,Skyline College,6
CSUF,Los Angeles Southwest College,3
CSUF,San Bernardino Valley College,8
CSUF,Monterey Peninsula College,7
CSUF,Fullerton College,8
CSUF,Long Beach City College,7
CSUF,San Jose City College,3
CSUF,Santa Monica College,8
CSUF,Southwestern College,6
CSUF,Moorpark College,6
CSUF,College of the Canyons,6
CSUF,Cosumnes River College,7
CSUF,Folsom Lake College,4
CSUF,West Hills College Lemoore,2
CSUF,Woodland Community College,2
CSUF,Norco College,6
CSUF,Moreno Valley College,8
CSUF,Clovis Community College,6
CSUF,Compton College,3
Sonoma,Evergreen Valley College,5
Sonoma,Los Angeles City College,5
Sonoma,College of Marin,5
Sonoma,College of San Mateo,4
Sonoma,College of the Sequoias,4
Sonoma,Butte College,5
Sonoma,Cerro Coso Community College,5
Sonoma,Columbia College,3
Sonoma,Merritt College,4
Sonoma,Santa Ana College,5
Sonoma,Cuesta College,5
Sonoma,Merced College,5
Sonoma,Las Positas College,5
Sonoma,Victor Valley College,5
Sonoma,Barstow Community College,5
Sonoma,Los Angeles Trade Technical College,2
Sonoma,American River College,5
Sonoma,Contra Costa College,4
Sonoma,College of the Desert,5
Sonoma,Los Angeles Harbor College,4
Sonoma,Mission College,3
Sonoma,City College of San Francisco,5
Sonoma,Fresno City College,4
Sonoma,Reedley College,5
Sonoma,Shasta College,5
Sonoma,Lake Tahoe Community College,3
Sonoma,Cabrillo College,6
Sonoma,Glendale Community College,5
Sonoma,Los Angeles Valley College,1
Sonoma,San Diego Miramar College,3
Sonoma,Los Angeles Mission College,5
Sonoma,Ohlone College,6
Sonoma,Pasadena City College,5
Sonoma,Foothill College,6
Sonoma,Modesto Junior College,5
Sonoma,Mt. San Jacinto College,5
Sonoma,San Diego City College,3
Sonoma,Golden West College,5
Sonoma,Palomar College,4
Sonoma,Santa Rosa Junior College,6
Sonoma,Berkeley City College,4
Sonoma,Los Medanos College,5
Sonoma,Mount San Antonio College,3
Sonoma,Palo Verde College,0
Sonoma,Rio Hondo College,4
Sonoma,Saddleback College,4
Sonoma,Santiago Canyon College,5
Sonoma,West Hills College Coalinga,1
Sonoma,Canada College,5
Sonoma,Chaffey College,5
Sonoma,Crafton Hills College,5
Sonoma,Cypress College,4
Sonoma,Gavilan College,6
Sonoma,Napa Valley College,5
Sonoma,Orange Coast College,5
Sonoma,Laney College,2
Sonoma,Riverside City College,5
Sonoma,West Valley College,5
Sonoma,Lassen Community College,1
Sonoma,College of the Redwoods,2
Sonoma,Bakersfield College,5
Sonoma,Los Angeles Pierce College,4
Sonoma,Oxnard College,1
Sonoma,Yuba College,5
Sonoma,West Los Angeles College,5
Sonoma,Santa Barbara City College,5
Sonoma,Sierra College,6
Sonoma,Solano Community College,6
Sonoma,Ventura College,2
Sonoma,Chabot College,5
Sonoma,Citrus College,5
Sonoma,Cuyamaca College,3
Sonoma,Mendocino College,6
Sonoma,San Diego Mesa College,2
Sonoma,College of the Siskiyous,4
Sonoma,El Camino College,4
Sonoma,Cerritos College,5
Sonoma,Coastline Community College,1
Sonoma,Grossmont College,5
Sonoma,Imperial Valley College,4
Sonoma,MiraCosta College,5
Sonoma,San Joaquin Delta College,5
Sonoma,Allan Hancock College,5
Sonoma,College of Alameda,1
Sonoma,Copper Mountain College,5
Sonoma,De Anza College,6
Sonoma,Diablo Valley College,6
Sonoma,East Los Angeles College,5
Sonoma,Taft College,1
Sonoma,Antelope Valley College,4
Sonoma,Feather River College,3
Sonoma,Hartnell College,5
Sonoma,Irvine Valley College,5
Sonoma,Porterville College,1
