Curriculum,Computer Science,,,,,,,,
Institution,CSU Dominguez Hills,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Comp. Sci. & Prog. I,CSC,121,2;3,,,4,,
2,Introduction to Programming Concepts,CSC,115,,,,3,,
3,Pre-Calculus with Trigonometry with Lab.,MAT,153,,,,4,,
4,Intro to Comp. Sci. & Prog. II,CSC,123,1,,,4,,
5,Assem. Lang. & Intro to Comp. Org,CSC,221,1,,,3,,
6,Lower Division Computer Science Elective,CSC,2xx,,,,3,,
7,Calculus I,MAT,191,3,,,5,,
8,Calculus II,MAT,193,7,,,5,,
9,Foundations of Higher Mathematics,MAT,271,8,,,3,,
10,Discrete Mathematics,MAT,281,3;1,,,3,,
11,General Physics I,PHY,130,7,7,,5,,
12,General Physics II,PHY,132,8;11,8,,5,,
13,Data Structures,CSC,311,4;10,,,3,,
14,Programming Languages,CSC,321,4,,,3,,
15,Computer Organization,CSC,331,5;10,,,3,,
16,Operating Systems,CSC,341,13;15;17,,,3,,
17,Probability and Statistics,MAT,321,8;9,,,3,,
18,Computers And Society,CSC,301,1,,,3,,
19,Analysis Of Algorithms,CSC,401,13,,,3,,
20,Software Engineering,CSC,481,18;13;14,,,3,,
21,Senior Design,CSC,492,18;14;20,,,3,,
22,Finite Automata,MAT,361,10,,,3,,
23,Artificial Intelligence,CSC,411,13;14,,,3,,
24,Computer Networks,CSC,451,13;10,,,3,,
