Curriculum,Computer Science,,,,,,,,
Institution,CSU San Bernardino,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science I,CSE,2010,2,,,4,,
2,Programming Basics,CSE,1250,,,,4,,
3,Machine Organization,CSE,2130,1,,,3,,
4,Discrete Mathematics,MATH,2720,,,,3,,
5,	Calculus I,MATH,2210,6,,,4,,
6,Accelerated Preparation for Calculus,MATH,1401,,,,4,,
7,Calculus II,MATH,2220,5,,,4,,
8,Statistics with Applications,MATH,2265,5,5,,3,,
9,Applied Linear Algebra,MATH,2310,5;7,7,,4,,
10,General Physics I,PHYS,2500,5,7,,4,,
11,General Physics I Lab,PHYS,2500L,7;10,,,1,,
12,General Physics II,PHYS,2510,5;10,,,4,,
13,General Physics II Lab,PHYS,2510L,7;10;11,12,,1,,
14,Digital Logic,CSE,3100,1;4,,,4,,
15,Contemporary Computer Architecture,CSE,4010,14;3,,,4,,
16,Computer Networking and Security,CSE,4100,17,,,3,,
17,Computer Science II,CSE,2020,1;4,,,4,,
18,Algorithm Analysis,CSE,4310,17;9,,,3,,
19,Software Engineering,CSE,4550,17,,,3,,
20,Operating Systems,CSE,4600,,,,3,,
21,Ethics Senior Seminar,CSE,4880,,,,3,,
22,Introduction to Formal Languages and Automata Theory,CSE,5000,17,,,3,,
23,Introduction to Artificial Intelligence,CSE,5120,17,,,3,,
24,Parallel Algorithms and Programming,CSE,5250,15,,,3,,
25,Compilers,CSE,5700,17;3,,,3,,
26,Database Systems,CSE,5720,17,,,3,,
27,Embedded Systems,CSE,4560,14;3,,,4,,
28,Introduction to Computer Engineering Design,CSE,5208,,,,4,,
29,Digital System Design,CSE,5210,15,,,4,,
