Curriculum,California_San_Diego_CS,,,,,,,,
Institution,University of California-San Diego,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming and Computational Problem-Solving I ,CSE,8A,,,,4,,
2,Introduction to Programming and Computational Problem-Solving II,CSE,8B,1,,,4,,
3,Introduction to Programming and Computational Problem-Solving: Accelerated Pace,CSE,11,,,,4,,
4,Basic Data Structures and Object-Oriented Design,CSE,12,3,,,4,,
5,Software Tools and Techniques Laboratory,CSE,15L,3,,,2,,
6,Discrete Mathematics,CSE,20,3,,,4,,
7,Mathematics for Algorithms and Systems,CSE,21,6,,,4,,
8,Computer Organization and Systems Programming,CSE,30,5;4,,,4,,
9,Perspectives in Computer Science and Engineering,CSE,91,,,,2,,
10,Precalculus for Science and Engineering,MATH,4C,,,,4,,
11,Calculus for Science and Engineering,MATH,20A,10,,,4,,
12,Calculus for Science and Engineering,MATH,20B,11,,,4,,
13, Calculus and Analytic Geometry for Science and Engineering,MATH,20C,12,,,4,,
14,Linear Algebra,MATH,18,11,,,4,,
15,Physics—Mechanics,PHYS,2A,11,,,4,,
16,Physics—Electricity and Magnetism,PHYS,2B,15; 12,,,4,,
17,Statistical Methods,MATH,183,13,,,4,,
18,Advanced Data Structures,CSE,100,8;7;5;4,,,4,,
19,Design and Analysis of Algorithms,CSE,101,7; 4,,,4,,
20,Theory of Computability,CSE,105,7; 6; 5; 4,,,4,,
21,Software Engineering,CSE,110,18,,,4,,
22,Principles of Computer Operating Systems,CSE,120,21; 19; 8,,,4,,
23,Database System Principles,CSE,132A,18,,,4,,
24,Introduction to Modern Cryptography,CSE,107,20; 19; 7,,,4,,
25,Recommender Systems and Web Mining,CSE,158,17; 5; 4,,,4,,
26,Components and Design Techniques for Digital Systems,CSE,140,8; 6,,27,4,,
27,Digital Systems Laboratory,CSE,140L,8; 6,,,2,,
28,Introduction to Computer Architecture: A Software Perspective,CSE,142,18; 8,,29,4,,
29,Software Project for Computer Architecture,CSE,142L,18; 8,,,2,,
30,Teaching Computation in the Digital World,EDS,124AR,,,,4,,
31,Teaching Computational Thinking for Everyone,EDS,124BR,,,,4,,
32, Data Science in Practice,COGS,108,3,,,4,,
33,Introduction to Computer Vision I,CSE,152A,14; 5; 4,,,4,,
34,Introduction to Artificial Intelligence: Search and Reasoning,CSE,150B,18; 17; 5; 4,,,4,,
35,Computer Graphics,CSE,167,18,,,4,,
36,Topics in Computer Science and Engineering ,CSE,190,,,,4,,
