Curriculum,Computer Science,,,,,,,,
Institution,CSU East Bay,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science 1,CS,101,,,,4,,
2,Computer Science II,CS,201,1,,,4,,
3,Discrete Structures,CS,211,4,,,3,,
4,Calculus I,MATH,130,5,,,4,,
5,Precalculus with Algebra,MATH,125,,,,5,,
6,Computer Organization and Assembly Language,CS,221,1,,,3,,
7,Computing and Social Responsibility,CS,230,,,,3,,
8,Calculus II,MATH,131,4,,,3,,
9,Numerical Algorithms and Linear Algebra for Computer Science,MATH,225,1;4,,,3,,
10,Physics for Scientists and Engineers I,PHYS,135,4,,,4,,
11,Data Structures and Algorithms,CS,301,2;3,,,3,,
12,Programming Language Concepts,CS,311,2;6,,,3,,
13,Computer Architecture,CS,321,3;6,,,3,,
14,Software Engineering,CS,401,11,,,3,,
15,Automata and Computation,CS,411,3;9,,,3,,
16,Analysis of Algorithms,CS,413,3;11,,,3,,
17,Operating Systems,CS,421,11,,,3,,
18,Computer Networks,CS,441,11,,,3,,
19,Statistics and Probability for Science and Engineering,STAT,316,8,,,3,,
20,Website Development,CS,351,11,,,3,,
21,Database Architecture,CS,431,11,,,3,,
22,Mobile Programming,CS,453,11,,,3,,
23,Computer Graphics,CS,455,11,,,3,,
