Curriculum,Computer Science,,,,,,,,
Institution,CSU Fullerton,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming,CPSC,120,,2,,3,,
2,Precalculus,MATH,125,,,,5,,
3,Object-Oriented Programming,CPSC,121,1,,,3,,
4,Data Structures,CPSC,131,3,,,3,,
5,Python Programming,CPSC,223P,4,,,3,,
6,Computer Orgaization and Assembly Language,CPSC,240,4;7,,,3,,
7,Mathematical Structures I,MATH,170A,,,,3,,
8,Cybersecurity Foundations and Principles ,CPSC,253,,,,3,,
9,Calculus I,MATH,150A,2,,,4,,
10,Calculus II,MATH,150B,9,,,4,,
11,Mathematical Structures I,MATH,170A,,,,3,,
12,Mathematical Structures II,MATH,170B,,,,3,,
13,Statistics Applied to Natural Sciences,MATH,338,10,,,4,,
14,Elements of Biology,BIOL,101,,,,3,,
15,Elements of Biology Laboratory,BIOL,101L,14,14,,1,,
16,Cellular and Molecular Biology,BIOL,151,,,,4,,
17,Evolution and Organismal Biology,BIOL,152,16,,,4,,
18,Professional Ethics in Computing,CPSC,315,4,,,3,,
19,Compilers and Languages,CPSC,323,4,,,3,,
20,File Structures and Database Systems,CPSC,332,4,,,3,,
21, Algorithm Engineering,CPSC,335,12;4,,,3,,
22,Operating Systems Concepts,CPSC,351,4,,,3,,
23,Foundations of Software Engineering,CPSC,362,4,,,3,,
24,Computer Communications,CPSC,471,22,,,3,,
25, Artificial Intelligence,CPSC,481,21;13,,,3,,
26,Undergraduate Seminar in Computer Science,CPSC,490,23,,,3,,
27,Senior Capstone Project in Computer Science,CPSC,491,26,,,3,,
28,Software Development with Open Source Systems,CPSC,254,4,,,3,,
29,Web Front-End Engineering,CPSC,349,4,,,3,,
30,Introduction to Data Science and Big Data,CPSC,375,4;13,,,3,,
31,Mobile Device Application Programming,CPSC,411,4,,,3,,
32,Database and Applications,CPSC,431,20,,,3,,
