Curriculum,Electrical Engineering & Computer Sciences,,,,,,,,
Institution,UC Berkeley,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,14.1001,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Designing Information Devices and Systems I,EE,16A,2;3;4,3;4,,4,,
2,Calculus,MATH,1A,,,,4,,
3,Calculus,MATH,1B,2,,,4,,
4,The Structure and Interpretation of Computer Programs,CS,61A,2,2,,4,,
5,Designing Information Devices and Systems II,EE,16B,1,,,4,,
6,Data Structures,CS,61B,4,,,4,,
7,Great Ideas of Computer Architecture (Machine Structures),CS,61C,4;6,,,4,,
8,Discrete Mathematics and Probability Theory,CS,70,,,,4,,
9,Multivariable Calculus,MATH,53,3,,,4,,
10,Physics for Scientists and Engineers,PHYSICS,7A,2;3,3,,4,,
11,Physics for Scientists and Engineers,PHYSICS,7B,10;2;3;9,9,,4,,
12,Introduction to Astrophysics,ASTRON,7A,2;3;10;11,11,,4,,
13,Introduction to General Astronomy,ASTRON,10,,,,4,,
14,Integrated-Circuit Devices,EE,130,1;5,,,4,,
15,Microfabrication Technology,EE,143,11,,,4,,
16,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization",EE,144,1;8,,,4,,
17,Operating Systems and System Programming,CS,162,6;7;8,,,4,,
18,Cryptography,CS,171,8,,,4,,
19,Social Implications of Computer Technology,CS,195,,,,1,,
