Curriculum,Computer Science,,,,,,,,
Institution,San Diego State University,,sity,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introductory Computer Programming,CS,150,2,2,,3,,
2,Introductory Computer Programming Laboratory,CS,150L,,,,1,,
3,Intermediate Computer Programming,CS,160,1;4,4,,3,,
4,Intermediate Computer Programming Laboratory,CS,160L,1,,,1,,
5,Data Structures,CS,210,3,,,3,,
6,Computer Organization,CS,240,3,,,3,,
7,Introduction to Software Systems,CS,250,6,,,3,,
8,Calculus I,MATH,150,9,,,4,,
9,Precalculus,MATH,141,,,,3,,
10,Calculus II,MATH,151,8,,,4,,
11,Discrete Mathematics,MATH,245,8,,,3,,
12,Introduction to Linear Algebra,MATH,254,10,,,3,,
13,Principles of Physics,PHYS,195,8,14,,3,,
14,Principles of Physics Laboratory,PHYS,195L,,,,1,,
15,Principles of Physics,PHYS,196,13;10,16,,3,,
16,Principles of Physics Laboratory,PHYS,196L,,,,1,,
17,Statistical Principles and Practices,STAT,250,,,,3,,
18,Computer Architecture,CS,370,6,,,3,,
19,Introduction to Artificial Intelligence,CS,450,5;12;17,,,3,,
20,Algorithms,CS,460,5;11,,,3,,
21,Operating Systems,CS,480,5;18,,,3,,
22,Advanced Programming Languages,CS,420,5,,,3,,
23,Applied Probability,STAT,550,10;12,,,3,,
24,UNIX System Administration,CS,470,18,,,3,,
25,Systems Programming,CS,530,5;6,,,3,,
26,Machine Learning,CS,549,5;12,,,3,,
27,Neural Networks,CS,553,5;12,,,3,,
28,Database Theory and Implementation,CS,514,5;11,,,3,,
29,Undergraduate Research Seminar,CS,497,20,,,3,,
