Curriculum,UC_Davis,,,,,,,,,
Institution,"UC Davis",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus","MAT","021A",,,,4,"","",6.0,5,4.0,0
2,"Calculus","MAT","021B","1",,,4,"","",4.0,2,4.0,4
3,"Calculus","MAT","021C","2",,,4,"","",3.3,1,4.0,4
4,"Linear Algebra","MAT","022A","3",,,3,"","",2.7,0,4.0,0
5,"Discrete Mathematics For Computer Science","ECS","20","1",,,4,"","",2.7,1,3.0,3
6,"Introduction to Programming","ECS","032A",,,,4,"","",5.3,4,4.0,0
7,"Programming & Problem Solving","ECS","036A","6",,,4,"","",4.7,3,4.0,8
8,"Software Development & Object-Oriented Programming in C++","ECS","036B","7",,,4,"","",4.0,2,4.0,8
9,"Data Structures, Algorithms, & Programming","ECS","036C","5;8",,,4,"","",2.7,0,4.0,0
10,"Computer Organization & Machine-Dependent Programming","ECS","50","8",,,4,"","",2.7,0,4.0,0
11,"General Chemistry","CHE","002A",,,,5,"","",3.3,2,3.0,0
12,"General Chemistry","CHE","002B","11",,,5,"","",2.7,1,3.0,3
13,"General Chemistry","CHE","002C","12",,,5,"","",2.0,0,3.0,0
