Citrus College,CECS 105 - Introduction to Computer Engineering and Computer Science (1.00),[['No Course Articulated']]
Citrus College,CECS 225 - Digital Logic and Assembly Programming (3.00),[['CS 111 - Introduction to Programming Concepts and Design (4.00)']]
Citrus College,CECS 174 - Introduction to Programming and Problem Solving (3.00) ,[['No Course Articulated']]
Citrus College,CECS 228 - Discrete Structures with Computing Applications (3.00) ,[['No Course Articulated']]
Citrus College,CECS 229 - Discrete Structures with Computing Applications II (3.00) ,[['CS 232 - Programming Concepts and Methodology II (3.00)']]
Citrus College,CECS 274 - Data Structures (3.00),[['No Course Articulated']]
Citrus College,CECS 277 - Object Oriented Application Development (3.00),[['No Course Articulated']]
Citrus College,ENGR 101 - Introduction to Engineering Profession (1.00),[['No Course Articulated']]
Citrus College,ENGR 102 - Academic Success Skills (1.00),[['MATH 190 - Calculus with Analytic Geometry (5.00)']]
Citrus College,MATH 122 - Calculus I (4.00),[['MATH 191 - Calculus with Analytic Geometry II (5.00)']]
Citrus College,MATH 123 - Calculus II (4.00),[['PHYS 201 - Physics A: Mechanics (5.00)']]
